source_stage,source_dir,source_csv,candidate_count,status,runtime_seconds,std,min,max,count,budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,observability_proxy,1.0,0.0,1.9750809588187843,,,,323.406824960629,,,,138.67938259812132,,,,1179.8674565198696,,,,0.0943473331035828,,,,0.6686232565731999,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,qr_pod_modes,1.0,0.0,1.758454154410067,,,,263.6475437773701,,,,132.01725248680674,,,,1773.0013468841526,,,,0.0392139755989688,,,,0.3612337518600286,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,quality_coverage_sample,100.0,1.0,1.766802337682671,0.1293422391154307,1.503881658894879,,300.6623909545141,7.08098083064024,295.19993839751453,,149.6727802971513,7.839031094126471,144.35387661181346,,942.4269669860194,121.59105462953636,799.2363312845116,,0.036295347818197,0.001570491417441,0.0338948431684333,,0.3730796724441622,0.1835342903603522,0.0,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,random_validation_pool,1.0,0.0,1.910916474244284,,,,295.44772229476075,,,,148.16105381092746,,,,843.2640938008557,,,,0.0445706492292109,,,,0.5775750172411974,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,robust_coverage_cvar,1.0,0.0,1.7775258438481418,,,,298.003453056908,,,,98.9767982826777,,,,1813.7505428719653,,,,0.0343505390681221,,,,0.3882961331125,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,scenario_average_a_trace,1.0,0.0,1.6934172399234813,,,,292.53286056369166,,,,97.83378840953674,,,,1531.9146289322157,,,,0.0420193875423524,,,,0.268947550313218,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,swap_from_best_random_trace,1.0,0.0,1.7091314295973148,,,,252.6225684005317,,,,129.90428457371115,,,,753.0355052712525,,,,0.035470715366266,,,,0.2912457003228302,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,swap_from_greedy_a_trace,1.0,0.0,1.6945666145278435,,,,249.30639316256529,,,,128.6137373251994,,,,854.5465569043888,,,,0.0352305114220355,,,,0.2705784920211438,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,swap_from_scenario_average,1.0,0.0,1.660979192744742,,,,252.41486419917692,,,,123.28774714710848,,,,905.6860558428216,,,,0.0372437753483098,,,,0.2229185499623551,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,top_variance,1.0,0.0,1.6241105577584194,,,,365.34597494398486,,,,178.4729537491104,,,,1514.6376830720258,,,,0.060086035112792,,,,0.1706026259065585,,,
