dataset,budget,budget_pct,split_seed,evidence_source,source_label,progress_fraction,normalized_gap
PeMS7_1026,0.1,10,30,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.80,0.086785
PeMS7_1026,0.1,10,30,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.85,0.054195
PeMS7_1026,0.1,10,30,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.90,0.041319
PeMS7_1026,0.1,10,30,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.95,0.013908
PeMS7_1026,0.1,10,30,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,1.00,0.000000
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.00,1.000000
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.05,0.888232
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.10,0.787032
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.15,0.695108
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.20,0.611170
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.25,0.538102
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.30,0.474285
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.35,0.416671
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.40,0.362212
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.45,0.303479
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.50,0.258214
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.55,0.218968
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.60,0.178292
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.65,0.147127
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.70,0.106925
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.75,0.071189
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.80,0.053419
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.85,0.041176
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.90,0.030105
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.95,0.017336
PeMS7_1026,0.1,10,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,1.00,0.000000
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.00,1.000000
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.05,0.899898
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.10,0.803736
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.15,0.711175
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.20,0.622271
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.25,0.543713
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.30,0.474904
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.35,0.411949
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.40,0.353017
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.45,0.304888
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.50,0.265467
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.55,0.232032
PeMS7_1026,0.1,10,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.60,0.206265
