dataset,budget_pct,split_seed,trace_source_label,trace_evidence_source,best_baseline_layout,best_baseline_label,hidden_node,node_rank_by_baseline_error,baseline_hidden_mae,trace_hidden_mae,gain_vs_baseline
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,357,40,6.8021392830819,6.690887353093103,0.1112519299887964
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,66,41,6.801123657111865,7.446001665910956,-0.6448780087990906
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,548,42,6.776794698716067,4.962837148901245,1.8139575498148224
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,355,43,6.7244019020252646,5.3288926273897905,1.395509274635474
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,567,44,6.723970446356878,4.611798954184049,2.1121714921728287
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,1013,45,6.683736703693396,7.194129415437156,-0.5103927117437603
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,190,46,6.63791126701346,6.36612936390679,0.27178190310667016
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,508,47,6.616048502022816,5.933398798347002,0.6826497036758141
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,838,48,6.60106753352527,6.695833230625065,-0.09476569709979543
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,732,49,6.599196918115993,5.252808488623763,1.3463884294922304
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,488,50,6.540124692110492,4.36743698263227,2.1726877094782218
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,846,51,6.515129488012966,6.049360851090651,0.4657686369223146
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,734,52,6.486364317794646,6.5902918276643065,-0.10392750986966082
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,955,53,6.4767929829893465,3.7402419269224527,2.7365510560668938
