dataset,budget,split_seed,evidence_source,source_label,source_root,initializer,sensor_count,n_nodes,exchange_steps,searched_one_exchange_coverage_pct,stop_reason,peak_trace_rss_mb,validation_mae,final_objective
PeMS7_1026,0.3,34,stage16_replaceable:pems1026_30_trainval_lowcert,Stage16 calibrated rerun,pems1026_30_trainval_lowcert,posterior_greedy_warm_start,308,1026,8,0.5788083782512752,exchange_budget_exhausted,1541.438,3.105194382295003,2.5245462918653994
PeMS7_228,0.1,25,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,4,100.0,no_improving_one_exchange,530.121,3.4925063701645906,4.035346591625972
PeMS7_228,0.1,26,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,7,100.0,no_improving_one_exchange,386.902,3.4240048560215954,4.02111055954291
PeMS7_228,0.1,27,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,5,100.0,no_improving_one_exchange,341.293,3.3173569020588287,4.059679166263597
PeMS7_228,0.1,28,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,7,100.0,no_improving_one_exchange,386.949,3.55385231427474,3.9879675915803166
PeMS7_228,0.1,29,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,7,100.0,no_improving_one_exchange,386.855,3.2169637933672846,4.01582906826867
PeMS7_228,0.1,30,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,8,100.0,no_improving_one_exchange,401.676,3.0674343639812944,4.036029139291562
PeMS7_228,0.1,31,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,10,100.0,no_improving_one_exchange,429.738,3.284741624816905,3.9908048714886566
PeMS7_228,0.1,32,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,9,100.0,no_improving_one_exchange,415.629,3.286029249018619,4.096870586286777
PeMS7_228,0.1,33,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,7,100.0,no_improving_one_exchange,386.922,3.19633639296551,3.9510907793124543
PeMS7_228,0.1,34,stage16_replaceable:train_val_lowcert_delta1_fullsearch,Stage16 calibrated rerun,train_val_lowcert_delta1_fullsearch,objective_forward,23,228,7,100.0,no_improving_one_exchange,386.98,3.7354163401787543,4.041886955930012
PeMS7_228,0.2,25,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,9,100.0,no_improving_one_exchange,673.129,3.0847279170187067,3.300863705843176
PeMS7_228,0.2,26,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,12,100.0,exchange_budget_exhausted,749.191,3.0254109911124636,3.286152969190343
PeMS7_228,0.2,27,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,12,100.0,exchange_budget_exhausted,749.281,2.9299310079640946,3.3083594939617664
PeMS7_228,0.2,28,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,10,100.0,no_improving_one_exchange,711.203,3.1834729891040876,3.2667696060422493
PeMS7_228,0.2,29,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,11,100.0,no_improving_one_exchange,749.406,2.8325008784326005,3.304294685322295
PeMS7_228,0.2,30,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,12,100.0,exchange_budget_exhausted,749.23,2.755890392094503,3.304799072488541
PeMS7_228,0.2,31,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,12,100.0,exchange_budget_exhausted,749.172,2.895157104525382,3.2625293550026133
PeMS7_228,0.2,32,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,11,100.0,no_improving_one_exchange,749.246,2.9225083978162,3.334495458563959
PeMS7_228,0.2,33,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,12,100.0,exchange_budget_exhausted,749.727,2.875123923963028,3.2159607536215153
PeMS7_228,0.2,34,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,46,228,12,100.0,exchange_budget_exhausted,749.527,3.31639650287124,3.316491316745942
PeMS7_228,0.3,25,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,11,100.0,no_improving_one_exchange,1529.902,2.761679180395586,2.8339429385976525
PeMS7_228,0.3,26,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,12,100.0,exchange_budget_exhausted,1606.426,2.770822715620852,2.827313703027106
PeMS7_228,0.3,27,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,12,100.0,exchange_budget_exhausted,1606.055,2.5968245349341443,2.833886525659577
PeMS7_228,0.3,28,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,12,100.0,exchange_budget_exhausted,1568.168,2.882592203779507,2.81571107459013
PeMS7_228,0.3,29,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,12,100.0,exchange_budget_exhausted,1605.754,2.552783096442698,2.8441724011949225
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,12,100.0,exchange_budget_exhausted,1606.238,2.469073982589639,2.8416917763454728
PeMS7_228,0.3,31,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,12,100.0,exchange_budget_exhausted,1606.312,2.643177167076173,2.8068794182134003
PeMS7_228,0.3,32,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,12,100.0,exchange_budget_exhausted,1606.488,2.619125867873766,2.862291371856026
PeMS7_228,0.3,33,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,12,100.0,exchange_budget_exhausted,1606.461,2.600037963701027,2.7617572828681607
PeMS7_228,0.3,34,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,pems7_228_20_30_fullsearch,objective_forward,68,228,12,100.0,exchange_budget_exhausted,1606.254,2.9436733697422834,2.8509943379494866
Seattle,0.1,25,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,0,13.745704467353951,no_improving_one_exchange,240.457,3.2783131524511195,5.042599733714438
Seattle,0.1,26,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,4,13.745704467353951,no_improving_one_exchange,270.0,3.4423493404232466,5.10806573144179
Seattle,0.1,27,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,6,13.745704467353951,no_improving_one_exchange,287.801,3.3579033566094534,5.0269998800551745
Seattle,0.1,28,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,7,13.745704467353951,no_improving_one_exchange,289.012,3.346639390149948,5.092592826369336
Seattle,0.1,29,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,5,13.745704467353951,no_improving_one_exchange,278.785,3.3376268255827863,5.096843127468121
Seattle,0.1,30,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,7,13.745704467353951,no_improving_one_exchange,296.684,3.4782357308857335,5.222951033574728
Seattle,0.1,31,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,8,13.745704467353951,exchange_budget_exhausted,290.668,2.9223205292716345,4.700011767912011
Seattle,0.1,32,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,7,13.745704467353951,no_improving_one_exchange,290.922,2.778927070085632,4.614275519489685
Seattle,0.1,33,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,5,13.745704467353951,no_improving_one_exchange,277.43,2.6471466390712184,4.4543318371780805
Seattle,0.1,34,stage15_main,Stage15 main evidence,stage15_main,objective_forward,32,323,5,13.745704467353951,no_improving_one_exchange,278.828,3.1702352482179563,4.9098345100199055
Seattle,0.2,25,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,2,7.6326774001192605,no_improving_one_exchange,530.121,2.973646584910842,3.8311742635793355
Seattle,0.2,26,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,5,7.6326774001192605,no_improving_one_exchange,348.648,3.1915197700012055,3.848821987871647
Seattle,0.2,27,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,5,7.6326774001192605,no_improving_one_exchange,384.051,3.0647708133760423,3.791314130483361
Seattle,0.2,28,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,3,7.6326774001192605,no_improving_one_exchange,344.305,3.049642590552061,3.9456382474001193
Seattle,0.2,29,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,7,7.6326774001192605,no_improving_one_exchange,413.902,3.0656617186668353,3.868291238531858
