dataset,budget,budget_pct,evidence_source,baseline_layout,baseline_label,mean_delta,win_count,count,paired_t_p_less,paired_t_p_greater,paired_t_p_holm,wilcoxon_p_less,trace_significantly_better_holm,baseline_significantly_better_holm,wilcoxon_supports_trace
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_scenario_cvar,swap from scenario cvar,-0.2800287567766282,10,10,7.569030285574597e-09,0.9999999924309697,7.947481799853326e-07,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,top_variance,top variance,-0.5010687717914093,10,10,3.678061415373568e-08,0.9999999632193859,2.937638225028505e-06,0.0009765625,True,False,True
PeMS7_1026,0.2,20,stage16_replaceable:pems7_1026_10_20_posterior_iter20,validation_swap_selected,Prev. TRACE-SL,-0.12357722103957322,10,10,9.808551665456158e-08,0.9999999019144833,6.081302032582818e-06,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,best_random_by_trace,best random by trace,-0.33068660243534287,10,10,1.7449571078963952e-09,0.9999999982550429,2.3033433824232417e-07,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,best_random_by_validation,best random by validation,-0.3193282633147364,10,10,2.2482543132821738e-10,0.9999999997751746,3.6480228613435236e-08,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,coverage,coverage,-0.4300145337598664,10,10,1.6526359313408887e-12,0.9999999999983473,3.090429191607462e-10,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,degree,degree,-1.1754669726206382,10,10,5.38311181386534e-10,0.9999999994616888,8.39765442962993e-08,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,graph_sampling_laplacian,graph sampling laplacian,-1.4382894989354675,10,10,9.117755021074193e-11,0.9999999999088225,1.5773716186458354e-08,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,greedy_a_trace,greedy a trace,-0.05900832037681849,10,10,4.250722235294912e-08,0.9999999574927777,3.1880416764711843e-06,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,greedy_d_logdet,greedy d logdet,-0.4101793532284069,10,10,6.952339028579447e-09,0.999999993047661,7.508526150865803e-07,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,multistart_swap_by_validation,Multistart validation-swap,-0.20852713127714861,10,10,7.364186860885413e-09,0.9999999926358132,7.879679941147391e-07,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,observability_proxy,observability proxy,-1.1462454888018885,10,10,7.048694714613312e-10,0.9999999992951305,1.0643529019066101e-07,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,qr_pod_modes,qr pod modes,-0.13182416245556378,10,10,1.464580743381963e-08,0.9999999853541925,1.391351706212865e-06,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,random,random,-0.38256332803896137,10,10,5.101203357309584e-09,0.9999999948987967,5.76435979375983e-07,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,rcss_selected,RCSS,-0.04906207328534502,10,10,7.005112471017215e-06,0.999992994887529,0.00013177456554845074,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,robust_coverage_cvar,robust coverage cvar,-0.34180850778054517,10,10,2.7589283928393655e-08,0.999999972410716,2.3590998765628555e-06,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,scenario_average_a_trace,scenario average a trace,-0.38958031653468195,10,10,4.316619752578472e-09,0.9999999956833803,4.964112715465242e-07,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,scenario_cvar_a_trace,scenario cvar a trace,-0.41476842436037864,10,10,9.225001731598073e-10,0.9999999990774998,1.3468502528133186e-07,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,swap_from_best_random_trace,swap from best random trace,-0.21844584018075364,10,10,2.7116090535205234e-08,0.9999999728839095,2.3590998765628555e-06,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,swap_from_greedy_a_trace,Swap from A-trace,-0.04760902099123325,10,10,5.428941497489284e-06,0.9999945710585025,0.00012363770053216777,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,swap_from_scenario_average,swap from scenario average,-0.23717657498907868,10,10,1.1125143658211975e-08,0.9999999888748563,1.0861010996933351e-06,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,swap_from_scenario_cvar,swap from scenario cvar,-0.2708988553422168,10,10,5.4516305666592565e-09,0.9999999945483694,6.051309928991775e-07,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,top_variance,top variance,-0.39337158579397086,10,10,3.005040721448197e-08,0.9999999699495928,2.464133391587522e-06,0.0009765625,True,False,True
PeMS7_1026,0.3,30,stage16_replaceable:pems1026_30_trainval_lowcert,validation_swap_selected,Prev. TRACE-SL,-0.037541480186449185,10,10,4.745084614335105e-05,0.9999525491538567,0.00047450846143351055,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,best_random_by_trace,best random by trace,-0.36757055658345816,10,10,1.758921565885727e-08,0.9999999824107844,1.6006186249560116e-06,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,best_random_by_validation,best random by validation,-0.26999243336977585,10,10,1.1163998007096196e-06,0.9999988836001993,4.2414699937014914e-05,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,coverage,coverage,-0.4640553555091892,10,10,5.260899815362808e-09,0.9999999947391002,5.892207793206345e-07,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,degree,degree,-0.693234787007813,10,10,4.1971799002020185e-11,0.9999999999580282,7.554923820363633e-09,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,graph_sampling_laplacian,graph sampling laplacian,-0.6795565062480174,10,10,2.0463843390024245e-05,0.99997953615661,0.0003069576508503637,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,greedy_a_trace,greedy a trace,-0.232660155872198,10,10,1.7118334888566074e-06,0.9999982881665112,5.489985723806201e-05,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,greedy_d_logdet,greedy d logdet,-1.1021260312238974,10,10,1.4555400246895837e-06,0.9999985444599753,5.094390086413543e-05,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,multistart_swap_by_validation,Multistart validation-swap,-0.15348254263277322,10,10,2.4206528578021092e-06,0.9999975793471422,7.019893287626116e-05,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,observability_proxy,observability proxy,-0.5480217571038651,10,10,7.674823307090955e-10,0.9999999992325177,1.1435486727565523e-07,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,qr_pod_modes,qr pod modes,-0.5236184848995544,10,10,1.1082664282585053e-08,0.9999999889173358,1.0861010996933351e-06,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,random,random,-0.35392323646012347,10,10,8.221633788881792e-08,0.9999999177836622,5.261845624884347e-06,0.0009765625,True,False,True
