dataset,budget,split_seed,layout_type,layout_label,validation_selected_mae,heldout_mae,posterior_trace
PeMS7_1026,0.1,30,validation_swap_selected,Prev. TRACE-SL,3.312509757068263,3.5025393794910844,1194.584611000852
PeMS7_1026,0.2,30,best_random_by_validation,Best random,3.217462837501488,3.360011025345075,1040.8308343241506
PeMS7_1026,0.2,30,trace_biopt,TRACE-BiOpt,2.964261947083686,3.109102880700835,842.0772875858554
PeMS7_1026,0.2,30,multistart_swap_by_validation,Multistart swap,3.098822013672629,3.24630995484771,945.6832989660307
PeMS7_1026,0.2,30,rcss_selected,RCSS,2.95290516310261,3.160300874480859,828.9547436728031
PeMS7_1026,0.2,30,validation_swap_selected,Prev. TRACE-SL,2.984144065651675,3.1587344458643147,837.6294866702195
PeMS7_1026,0.3,30,best_random_by_validation,Best random,2.9802100494290538,3.096959960556623,814.305985008584
PeMS7_1026,0.3,30,trace_biopt,TRACE-BiOpt,2.769212240850158,2.839035063348965,666.5685135553608
PeMS7_1026,0.3,30,multistart_swap_by_validation,Multistart swap,2.9111245086651487,3.0290925559467388,755.4204068104364
PeMS7_1026,0.3,30,rcss_selected,RCSS,2.725974665400487,2.862022604222633,658.7914138328326
PeMS7_1026,0.3,30,validation_swap_selected,Prev. TRACE-SL,2.756452846670121,2.847273611240186,667.7059660293744
PeMS7_1026,0.1,31,best_random_by_validation,Best random,3.618299650707417,4.351642446513214,1322.3691868412811
PeMS7_1026,0.1,31,trace_biopt,TRACE-BiOpt,3.42194448791278,4.105908276762268,1163.5836619743127
PeMS7_1026,0.1,31,multistart_swap_by_validation,Multistart swap,3.498473188566185,4.124105573980572,1217.3561683281027
PeMS7_1026,0.1,31,rcss_selected,RCSS,3.603606350183807,4.135018165126375,1148.2244605887868
PeMS7_1026,0.1,31,validation_swap_selected,Prev. TRACE-SL,3.459058534004654,4.15395083265974,1170.6380973884748
PeMS7_1026,0.2,31,best_random_by_validation,Best random,3.320808880740161,3.915550771798984,1034.5097588621682
PeMS7_1026,0.2,31,trace_biopt,TRACE-BiOpt,3.0863294706560698,3.640686256817584,833.7451911805974
PeMS7_1026,0.2,31,multistart_swap_by_validation,Multistart swap,3.222957053555888,3.801055261275103,946.6042718158964
PeMS7_1026,0.2,31,rcss_selected,RCSS,3.257353753836138,3.694930148679525,822.0725281859278
PeMS7_1026,0.2,31,validation_swap_selected,Prev. TRACE-SL,3.123481507635162,3.6810988081127536,834.6006342930402
PeMS7_1026,0.3,31,best_random_by_validation,Best random,3.156567279711584,3.7134132095900263,821.6878010114962
PeMS7_1026,0.3,31,trace_biopt,TRACE-BiOpt,2.916605421536516,3.378126772183549,660.1716961059715
PeMS7_1026,0.3,31,multistart_swap_by_validation,Multistart swap,3.067334755507133,3.623548431237077,763.2314590879337
PeMS7_1026,0.3,31,rcss_selected,RCSS,3.0459234438688343,3.4066487667774,652.9639745092177
PeMS7_1026,0.3,31,validation_swap_selected,Prev. TRACE-SL,2.9107220820057247,3.387849393315094,662.1995237186926
PeMS7_1026,0.1,32,best_random_by_validation,Best random,3.732210157139241,3.6533307166999713,1333.9930739800536
PeMS7_1026,0.1,32,trace_biopt,TRACE-BiOpt,3.5490477133981173,3.4175829763025574,1176.5329399404009
PeMS7_1026,0.1,32,multistart_swap_by_validation,Multistart swap,3.597298853715223,3.5396855456892413,1232.243787297386
PeMS7_1026,0.1,32,rcss_selected,RCSS,3.577412877686585,3.470102722221768,1155.6052910946837
PeMS7_1026,0.1,32,validation_swap_selected,Prev. TRACE-SL,3.5684464577955683,3.5478175400508425,1233.935701379167
PeMS7_1026,0.2,32,best_random_by_validation,Best random,3.3960475254417486,3.347762311019982,1003.729959313528
PeMS7_1026,0.2,32,trace_biopt,TRACE-BiOpt,3.1895001070366398,3.070288813666481,838.8832917176874
PeMS7_1026,0.2,32,multistart_swap_by_validation,Multistart swap,3.300376454735465,3.238760367446889,943.0264243066651
PeMS7_1026,0.2,32,rcss_selected,RCSS,3.1827873093013883,3.1146276896326173,827.215337367707
PeMS7_1026,0.2,32,validation_swap_selected,Prev. TRACE-SL,3.2031407075312077,3.118838599170402,839.0282879425738
PeMS7_1026,0.3,32,best_random_by_validation,Best random,3.2027700918120527,3.1880342274938567,851.2863197082739
PeMS7_1026,0.3,32,trace_biopt,TRACE-BiOpt,2.9260818281035896,2.8787369633204984,663.1975407347622
PeMS7_1026,0.3,32,multistart_swap_by_validation,Multistart swap,3.1134081947232617,3.0660812783763736,782.5906252529011
PeMS7_1026,0.3,32,rcss_selected,RCSS,2.893953643317462,2.885174601566848,655.3860360963785
PeMS7_1026,0.3,32,validation_swap_selected,Prev. TRACE-SL,2.9220988656947644,2.870195550650983,664.1746546256572
PeMS7_1026,0.1,33,best_random_by_validation,Best random,3.620437574795653,4.255615499164433,1313.2995337314248
PeMS7_1026,0.1,33,trace_biopt,TRACE-BiOpt,3.5059419756544683,4.064908887024205,1165.130764772471
PeMS7_1026,0.1,33,multistart_swap_by_validation,Multistart swap,3.5708815984274884,4.188763579382603,1227.7525255882592
PeMS7_1026,0.1,33,rcss_selected,RCSS,3.575000262334209,4.042323496684346,1150.2428985237243
PeMS7_1026,0.1,33,validation_swap_selected,Prev. TRACE-SL,3.4965774430861982,4.051290684373806,1166.5999840101802
PeMS7_1026,0.2,33,best_random_by_validation,Best random,3.4062062715671986,3.921062805813351,1012.14416713871
PeMS7_1026,0.2,33,trace_biopt,TRACE-BiOpt,3.1648389705509308,3.628104871171348,834.5866651662748
PeMS7_1026,0.2,33,multistart_swap_by_validation,Multistart swap,3.2786011342556485,3.7646899686057766,950.8798874468354
PeMS7_1026,0.2,33,rcss_selected,RCSS,3.2234557934322003,3.658773431915425,831.6101861791393
PeMS7_1026,0.2,33,validation_swap_selected,Prev. TRACE-SL,3.1845422906453087,3.664806781318344,839.7779289182331
PeMS7_1026,0.3,33,best_random_by_validation,Best random,3.1928933717766457,3.665520108164324,840.6850761627772
PeMS7_1026,0.3,33,trace_biopt,TRACE-BiOpt,2.911826442923532,3.368023984358615,660.8021084667992
PeMS7_1026,0.3,33,multistart_swap_by_validation,Multistart swap,3.0817214593220434,3.5200937419412908,769.5686702919699
PeMS7_1026,0.3,33,rcss_selected,RCSS,2.944531535437311,3.359242997014197,653.3350080024636
PeMS7_1026,0.3,33,validation_swap_selected,Prev. TRACE-SL,2.9172471211762594,3.360968802779578,658.342377359575
PeMS7_1026,0.1,34,best_random_by_validation,Best random,3.985705827029708,4.20063872755132,1345.8651836067793
PeMS7_1026,0.1,34,trace_biopt,TRACE-BiOpt,3.8336820638858193,3.92615645484571,1167.4000603153015
PeMS7_1026,0.1,34,multistart_swap_by_validation,Multistart swap,3.878070739296743,4.008930886006493,1234.5862731429484
PeMS7_1026,0.1,34,rcss_selected,RCSS,3.3501035586914574,3.988419162124128,1150.1746603253432
PeMS7_1026,0.1,34,validation_swap_selected,Prev. TRACE-SL,3.8311694520155353,4.003274965270548,1249.8269743088315
PeMS7_1026,0.2,34,best_random_by_validation,Best random,3.6547365006201127,3.8404111421019262,1023.941772258208
PeMS7_1026,0.2,34,trace_biopt,TRACE-BiOpt,3.409280951223269,3.5794233614175086,835.5088319986382
PeMS7_1026,0.2,34,multistart_swap_by_validation,Multistart swap,3.553428981208715,3.693699489976383,942.1257382762014
PeMS7_1026,0.2,34,rcss_selected,RCSS,2.987080278033914,3.5767133040462515,822.5296911104274
PeMS7_1026,0.2,34,validation_swap_selected,Prev. TRACE-SL,3.411290372678513,3.569544990370414,831.1816779535031
PeMS7_1026,0.3,34,best_random_by_validation,Best random,3.4387406261689986,3.5871008383274816,820.150383638718
PeMS7_1026,0.3,34,trace_biopt,TRACE-BiOpt,3.1400858251954444,3.285030173230033,660.485684178719
PeMS7_1026,0.3,34,multistart_swap_by_validation,Multistart swap,3.310609984690701,3.462616356665027,768.2703711180526
PeMS7_1026,0.3,34,rcss_selected,RCSS,2.7614323076015443,3.3105656331512945,652.3170202776595
PeMS7_1026,0.3,34,validation_swap_selected,Prev. TRACE-SL,3.1455816983243183,3.2985480493536654,658.65332658186
Seattle,0.1,25,best_random_by_validation,Best random,3.3746284272099856,3.0769188693597678,514.5008272564886
Seattle,0.1,25,trace_biopt,TRACE-BiOpt,3.2783131524511195,2.9388026894381643,479.586778643578
Seattle,0.1,25,multistart_swap_by_validation,Multistart swap,3.3142121774176267,3.004917435338449,448.3509756925638
Seattle,0.1,25,rcss_selected,RCSS,3.395877115575924,3.004917435338449,448.3509756925638
Seattle,0.1,25,validation_swap_selected,Prev. TRACE-SL,3.2979303716655903,2.999603773233329,457.4573555039855
Seattle,0.2,25,best_random_by_validation,Best random,3.127489845708318,2.9377133227529835,393.3035468739476
Seattle,0.2,25,trace_biopt,TRACE-BiOpt,2.9569069344356733,2.6743456218827726,392.8651006513047
Seattle,0.2,25,multistart_swap_by_validation,Multistart swap,3.08895807008196,2.8260910654320868,344.7521985532513
Seattle,0.2,25,rcss_selected,RCSS,3.0988008211101885,2.7573547677786228,395.162365677945
Seattle,0.2,25,validation_swap_selected,Prev. TRACE-SL,2.991681766510016,2.722366290885341,394.8716220364036
Seattle,0.3,25,best_random_by_validation,Best random,2.994375186061873,2.826246942527422,332.8069616444904
Seattle,0.3,25,trace_biopt,TRACE-BiOpt,2.7107495354068494,2.487537152670358,345.77986931911363
Seattle,0.3,25,multistart_swap_by_validation,Multistart swap,2.946420730128309,2.672775309627152,285.1606114247045
Seattle,0.3,25,rcss_selected,RCSS,2.8935296879266024,2.5638837616820203,326.2857528504603
Seattle,0.3,25,validation_swap_selected,Prev. TRACE-SL,2.7860271635446416,2.532980989637468,326.4902794839131
