dataset,budget,budget_pct,split_seed,evidence_source,source_label,best_baseline_layout,best_baseline_label,trace_biopt_mae,best_baseline_mae,paired_margin
PeMS7_228,0.2,20,30,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.8403631826375464,3.165833764624011,-0.3254705819864645
PeMS7_228,0.2,20,31,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.431977565072183,3.766656120509658,-0.33467855543747493
PeMS7_228,0.2,20,32,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.753426637259317,2.986891692960358,-0.23346505570104092
PeMS7_228,0.2,20,33,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.411435232009388,3.678913271301212,-0.2674780392918237
PeMS7_228,0.2,20,34,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.250347618811664,3.4803583420331865,-0.23001072322152272
PeMS7_228,0.3,30,25,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.6551299373264827,2.918060792037708,-0.26293085471122524
PeMS7_228,0.3,30,26,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.934480038393162,3.299019032549241,-0.3645389941560788
PeMS7_228,0.3,30,27,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.573043791032625,2.968535066049483,-0.395491275016858
PeMS7_228,0.3,30,28,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.5089368457465366,2.88489824922316,-0.37596140347662343
PeMS7_228,0.3,30,29,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.7410185138954324,3.032014678535192,-0.2909961646397594
PeMS7_228,0.3,30,30,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.5114877750035243,2.84642616184613,-0.3349383868426057
PeMS7_228,0.3,30,31,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.087611341732129,3.461204909293933,-0.37359356756180384
PeMS7_228,0.3,30,32,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.4656004221572343,2.7304937682109407,-0.2648933460537064
PeMS7_228,0.3,30,33,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,3.0368492105462277,3.373166115383827,-0.33631690483759913
