budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,robust_coverage_cvar,10,0,3.8023044573356564,0.25051553288962825,,,1286.9658604778886,9.217320084476906,,,461.81937952024816,9.916637926788123,,,9121.223749053475,558.2016653465482,,,0.01246658536678715,0.00023013670833880973,,,0.15527623346820735,0.04465524533945459,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_average_a_trace,10,0,3.8963075628575523,0.24106018671825094,,,1292.5999115320244,12.670260174423214,,,464.30057838456503,9.702182854024649,,,10790.339204936756,894.5411348761529,,,0.016060641389823292,0.0005889337627300782,,,0.2397070914931328,0.08492686392162503,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_cvar_a_trace,10,0,3.833943658127157,0.23523371929372822,,,1299.5868132328676,10.431488167651153,,,456.2909871659493,9.357187979521091,,,10027.288597748699,422.36900028992244,,,0.01589112542187745,0.0008710662423201311,,,0.1869408853374148,0.05820769878596182,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_best_random_trace,10,0,3.6699345276522166,0.23684806116763485,,,1207.6415870874785,6.4597556642852965,,,537.1253642195188,13.487843668139002,,,7563.262465163729,432.863370989179,,,0.01449372212354133,0.00046859512189937057,,,0.0666959511269567,0.02646108231500721,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,10,2,3.6348933399019936,0.2367177882140444,3.5776263870562652,0.036741216204923655,1153.450081751394,4.098986298100668,1151.0877570793934,4.049312730105455,537.2949276300775,12.77625254057901,537.1231756674274,8.102841489116612,8469.010285383996,245.27266297560803,8605.08083374338,281.62801048404754,0.01412813252816562,0.00026290671599157265,0.014221536453453351,0.00019577417002076305,0.029980994250966543,0.0253512984866288,0.0,0.0
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_average,10,0,3.7309274417400085,0.24039367045492646,,,1200.3445212157521,7.70690946794414,,,485.17642591662633,12.616104980005215,,,9064.736644888224,475.9103253501098,,,0.014767748043766571,0.00033897953292764374,,,0.09760009323922682,0.04754368798367141,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_cvar,10,1,3.7091780399253955,0.24235133435715128,3.666936565584704,,1207.6891929512394,5.758750983080617,1208.0704946936055,,477.8903692841138,11.718195662437745,467.6265606773063,,8819.78890295655,336.81467299589855,8472.583118077204,,0.014687580187236936,0.000508692114425995,0.0150467061391963,,0.08384455863408105,0.024293512950316693,0.0624794252282363,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,10,0,3.8928259824791396,0.2912085290938582,,,1668.4091645511594,8.868815117619741,,,734.3529106934769,21.49669886996117,,,26226.945566706483,709.959853547302,,,0.03450199978948303,0.0006753424717822222,,,0.26169182403006797,0.09150492516078491,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap,30,0,3.6345819340638195,0.18804327023034326,,,1213.9706789758409,58.787210737702594,,,542.4038217660125,19.29706321434888,,,7940.997081577767,971.7301059064566,,,0.014235873181502086,0.0005535905940201575,,,0.4847293263277639,0.4130465534765465,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,coverage,10,0,3.519558682377217,0.23857500357210543,,,996.3050409578943,2.83241533156158,,,392.6162857912513,9.79976374491521,,,4320.090344988776,104.95968698027981,,,0.008337212772275898,1.828559098217032e-18,,,0.22433667683694866,0.051204990768464076,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,degree,10,0,4.21407337860147,0.30467136193293026,,,1383.149544192155,6.417713516483573,,,500.29831763841287,15.14181521156069,,,14250.75379938541,425.803140731492,,,0.0886303593858754,0.0,,,0.8070103568660091,0.08840959384478625,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,10,0,4.449372211351394,0.32425511440974514,,,1284.668849555862,5.809039836543761,,,474.0451088963415,19.180346507671842,,,17374.601575315126,387.22467074157964,,,0.09707991099133209,1.4628472785736255e-17,,,0.9972471306426453,0.008705337270125284,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,10,3,3.2639620288618105,0.22053347931208342,3.3954534816564688,0.255094681171475,834.1312254709094,3.1331661592057625,833.6015546803374,1.7293709441124778,352.9532549982642,6.106188159296412,356.10400037909693,4.412070778306141,4489.231776297646,106.95709953318742,4394.750292497782,41.75536325644092,0.00864627020285615,9.415825814101874e-05,0.008588272632354099,1.604587584324775e-05,0.01512407981061207,0.014761713811928654,0.0,0.0
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_d_logdet,10,0,3.7493859943536236,0.26109163478445324,,,890.8162000663255,3.0027933958250808,,,349.0108817978705,6.6031297188970495,,,11295.825780671346,490.86966511224756,,,0.010550332913414071,0.00014804201376133292,,,0.40142167355948677,0.04859623064380072,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,9,0,3.3099367322213435,0.23549393114645592,,,945.9912153249752,7.124607288101327,,,392.34184337160485,10.432295785624747,,,3427.756872933094,181.36626241161116,,,0.009263273661709013,0.0002442974535112363,,,0.060199719584812766,0.03446871803949646,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,observability_proxy,10,0,4.192296201052429,0.29500446765389066,,,1370.902203494744,5.948552224885095,,,491.71761216242874,13.459590996851336,,,14453.720740586248,453.8228853066519,,,0.07928735802504101,1.4628472785736255e-17,,,0.7877589170129432,0.08267994649845115,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,qr_pod_modes,10,0,3.4299566836846944,0.23755545390883046,,,845.3692276963815,4.703048974325404,,,343.9428921850691,6.144427517434902,,,6485.793061571379,409.8604761056217,,,0.008859987864768921,9.658021048963045e-05,,,0.14499393042712388,0.03441280386400652,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,quality_coverage_sample,1000,0,3.460787780046142,0.2124563654391209,,,1021.5372292288033,14.501869990388759,,,403.2121261498015,10.756738461956335,,,4864.334153060429,603.0887336000025,,,0.008317531549021795,0.00014764302296044912,,,0.17925619152353375,0.05288895747642769,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,random_validation_pool,1000,0,3.5199279268573256,0.21624974666751867,,,1036.0305326500657,15.311765783659824,,,406.51385901340456,10.42183576680186,,,4947.682010214476,559.2730480851756,,,0.010131180853656666,0.0005725600410939108,,,0.228196154697141,0.05483541691673923,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,robust_coverage_cvar,10,0,3.4726084273365054,0.21375948960431373,,,956.9616770145734,11.804433094701562,,,323.0714858749351,6.493857618641817,,,5161.812603769901,303.38984749392614,,,0.007541293211223449,9.950682355883737e-05,,,0.18066267990319376,0.05859742365266813,,
