method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
gls_map,3.5668417671887838,6.195500240392445,0.09155217902151909,PeMS7_228,0.1,23,205,random,21,32,2058,,391.3635858117426,2311.597878368852,107.89450172309333
historical_tod_mean,3.639365303184282,6.454990019567362,0.0872039143870009,PeMS7_228,0.1,23,205,random,22,32,2058,,,,
neighbor_average,7.865363877597111,11.896860348929213,0.1946463627369281,PeMS7_228,0.1,23,205,random,22,32,2058,,,,
gsp,3.599756009450144,6.17638594661526,0.08596630438282273,PeMS7_228,0.1,23,205,random,22,32,2058,,19.216985832102203,160.1984754757337,661.2632702631281
gls_map,3.439688831067234,5.814995963647506,0.08230484907743436,PeMS7_228,0.1,23,205,random,22,32,2058,,385.8711635176909,2192.6097154447975,110.98139073118843
historical_tod_mean,3.6264806063685637,6.437657427537081,0.08516101726575422,PeMS7_228,0.1,23,205,random,23,32,2058,,,,
neighbor_average,7.666755871725384,11.615841248755522,0.1812438679393908,PeMS7_228,0.1,23,205,random,23,32,2058,,,,
gsp,3.5420412146699873,6.1684993556579455,0.08352383448714441,PeMS7_228,0.1,23,205,random,23,32,2058,,19.21693087671406,161.77492385163995,661.2728832882443
gls_map,3.4046372372237195,5.850440433641777,0.07996250968143977,PeMS7_228,0.1,23,205,random,23,32,2058,,381.82473261527383,1574.3043809948751,109.20076046634719
historical_tod_mean,3.6481681487127378,6.470054180059322,0.08789568143865804,PeMS7_228,0.1,23,205,random,24,32,2058,,,,
neighbor_average,6.909205341011743,11.27276041028841,0.18780315993984564,PeMS7_228,0.1,23,205,random,24,32,2058,,,,
gsp,3.5214779818621142,6.1621851738789175,0.08813701374352115,PeMS7_228,0.1,23,205,random,24,32,2058,,19.21523918173237,161.66723137692446,661.2480025580537
gls_map,3.3992588051436985,5.9476773712513,0.08686507754083149,PeMS7_228,0.1,23,205,random,24,32,2058,,369.1239862297992,1724.556885393947,110.51222934743964
historical_tod_mean,3.630035950203253,6.4211869699887005,0.08589853085141141,PeMS7_228,0.1,23,205,random,25,32,2058,,,,
neighbor_average,7.683184846431797,11.740228189354799,0.19850310971623272,PeMS7_228,0.1,23,205,random,25,32,2058,,,,
gsp,3.6004407740356714,6.251858335643707,0.08482338598079597,PeMS7_228,0.1,23,205,random,25,32,2058,,19.21309705226113,161.79753826321294,661.1805331068852
gls_map,3.540823581769852,5.980857790516584,0.08340943911283445,PeMS7_228,0.1,23,205,random,25,32,2058,,372.0859425474853,1756.0863163769336,111.81486411893317
historical_tod_mean,3.6142884908536583,6.500581471623581,0.0871472740453511,PeMS7_228,0.1,23,205,random,26,32,2058,,,,
neighbor_average,7.381195517163503,11.304278686558533,0.19554104718493576,PeMS7_228,0.1,23,205,random,26,32,2058,,,,
gsp,3.6031974283125114,6.3429540575945245,0.08720408470945756,PeMS7_228,0.1,23,205,random,26,32,2058,,19.216834505006982,159.9898971413582,661.2745663728541
gls_map,3.4912320414698934,6.060053769014749,0.08412905742775816,PeMS7_228,0.1,23,205,random,26,32,2058,,368.1254120934299,1664.9090773548385,111.06261199920021
historical_tod_mean,3.634685679200542,6.441104608107054,0.08628332738125956,PeMS7_228,0.1,23,205,random,27,32,2058,,,,
neighbor_average,6.856132000903343,10.79567498010762,0.1865271533325111,PeMS7_228,0.1,23,205,random,27,32,2058,,,,
gsp,3.5608175377513196,6.205856686919424,0.0875071663238702,PeMS7_228,0.1,23,205,random,27,32,2058,,19.21831046664056,155.50257958082145,661.3046309543564
gls_map,3.395858623169441,5.813536543582991,0.08213063623116905,PeMS7_228,0.1,23,205,random,27,32,2058,,367.5288005270145,1652.094406815864,111.94137105663813
historical_tod_mean,3.6363190633468823,6.460398225532968,0.0863460429483571,PeMS7_228,0.1,23,205,random,28,32,2058,,,,
neighbor_average,7.26713725158085,11.24114555988711,0.1777008845253122,PeMS7_228,0.1,23,205,random,28,32,2058,,,,
gsp,3.5990156461228455,6.2408048691591995,0.08738284664901304,PeMS7_228,0.1,23,205,random,28,32,2058,,19.215686142515686,161.64369774994395,661.189900095487
gls_map,3.426709717803563,5.880279951179776,0.08370617777385873,PeMS7_228,0.1,23,205,random,28,32,2058,,366.11944763418865,1758.443563142855,111.88168502221453
historical_tod_mean,3.58656914803523,6.423800264323006,0.08552150196703404,PeMS7_228,0.1,23,205,random,29,32,2058,,,,
neighbor_average,7.56997798102981,11.334191779951825,0.18295174180951407,PeMS7_228,0.1,23,205,random,29,32,2058,,,,
gsp,3.6004826831637744,6.205888958966324,0.08544301865165417,PeMS7_228,0.1,23,205,random,29,32,2058,,19.2162731803366,156.85757413012723,661.2594716777324
gls_map,3.4910956900513574,5.85587822641929,0.0840284470734808,PeMS7_228,0.1,23,205,random,29,32,2058,,375.101272794485,1800.4747727933316,110.65698391399528
historical_tod_mean,3.6042156588753382,6.442258685467863,0.08753589382672097,PeMS7_228,0.1,23,205,random,30,32,2058,,,,
neighbor_average,7.185933547877147,11.270151583106054,0.18807268159258927,PeMS7_228,0.1,23,205,random,30,32,2058,,,,
gsp,3.494625497469986,6.19213544630202,0.0894595747529776,PeMS7_228,0.1,23,205,random,30,32,2058,,19.2179244865568,157.71768126723094,661.2865688964033
gls_map,3.285641497564612,5.839918329418451,0.08482363052913124,PeMS7_228,0.1,23,205,random,30,32,2058,,366.0438507691006,1349.6976565100954,110.09941030460165
historical_tod_mean,3.618530318428185,6.400802816430572,0.08561659211476173,PeMS7_228,0.1,23,205,random,31,32,2058,,,,
neighbor_average,7.381970980126469,11.070795687912634,0.1753580104942691,PeMS7_228,0.1,23,205,random,31,32,2058,,,,
