method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet,candidate_count
historical_tod_mean,1.0421703296703304,1.95257724516897,0.0151449103473298,PeMS7_228,0.2,46,182,multistart_swap_by_validation,0,25,2151,1.7091314295973148,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,100
neighbor_average,2.544871794871794,3.162859674200123,0.0374321790333754,PeMS7_228,0.2,46,182,multistart_swap_by_validation,0,25,2151,1.7091314295973148,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,100
gsp,1.1311695636144463,1.9087537894689572,0.0165771932600411,PeMS7_228,0.2,46,182,multistart_swap_by_validation,0,25,2151,1.7091314295973148,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,16.41658462911975,97.39083055551104,662.9956973614793,100
gls_map,1.1030993930410014,1.898860687870748,0.0161535517223848,PeMS7_228,0.2,46,182,multistart_swap_by_validation,0,25,2151,1.7091314295973148,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,252.6225684005317,753.0355052712525,141.96583497903805,100
historical_tod_mean,0.9099862637362643,1.8268140634045773,0.0132591025929638,PeMS7_228,0.2,46,182,rcss_selected,0,25,2151,1.503881658894879,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,100
neighbor_average,2.8734432234432243,3.4903521308827843,0.043005384263805,PeMS7_228,0.2,46,182,rcss_selected,0,25,2151,1.503881658894879,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,100
gsp,1.0630675461723578,1.808061531343552,0.0156548097499382,PeMS7_228,0.2,46,182,rcss_selected,0,25,2151,1.503881658894879,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,16.414712673255238,97.2284388614545,663.0236781744909,100
gls_map,1.09139736775699,1.813910084863652,0.0160990291262926,PeMS7_228,0.2,46,182,rcss_selected,0,25,2151,1.503881658894879,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,295.19993839751453,799.2363312845116,132.27319727201433,100
historical_tod_mean,0.9129945054945062,1.8280918788678029,0.0133024115493696,PeMS7_228,0.2,46,182,validation_swap_selected,0,25,2151,1.487877123022902,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,100
neighbor_average,2.880952380952382,3.472492639042612,0.0431188795494673,PeMS7_228,0.2,46,182,validation_swap_selected,0,25,2151,1.487877123022902,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,100
