method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet,run_dir
historical_tod_mean,3.467470909552845,6.156565463721741,0.0953392970306003,PeMS7_228,0.1,23,205,random,69,23,2026,,,,,seed_23
neighbor_average,7.949491587624209,12.100003014640366,0.2146084231095037,PeMS7_228,0.1,23,205,random,69,23,2026,,,,,seed_23
gsp,3.4778473366996825,6.194132335749528,0.0949305153067126,PeMS7_228,0.1,23,205,random,69,23,2026,,19.215394651528516,162.07987318306925,661.2299260982043,seed_23
gls_map,3.496561167117178,6.058953623243648,0.0927212744860307,PeMS7_228,0.1,23,205,random,69,23,2026,,388.18914843439177,2782.127396782053,107.9496843715433,seed_23
historical_tod_mean,3.4428415057588078,6.0873987096598485,0.0947577282436077,PeMS7_228,0.1,23,205,random,70,23,2026,,,,,seed_23
neighbor_average,8.730956978319783,13.049203866317496,0.2393504364159533,PeMS7_228,0.1,23,205,random,70,23,2026,,,,,seed_23
gsp,3.5494183950877725,6.083389741080573,0.0942008653310422,PeMS7_228,0.1,23,205,random,70,23,2026,,19.21519474460959,161.8917618261605,661.1892458290803,seed_23
gls_map,3.5460664447767334,6.093462955428165,0.0927975400884749,PeMS7_228,0.1,23,205,random,70,23,2026,,382.23035140107606,2209.349608216461,109.80963272369772,seed_23
historical_tod_mean,3.501241658197833,6.187117312193541,0.09631821837579,PeMS7_228,0.1,23,205,random,71,23,2026,,,,,seed_23
neighbor_average,8.462953082655826,12.801660379741548,0.2367634921915002,PeMS7_228,0.1,23,205,random,71,23,2026,,,,,seed_23
gsp,3.613878272069025,6.187658994193996,0.0963466663132273,PeMS7_228,0.1,23,205,random,71,23,2026,,19.21702224875438,161.21839129449657,661.2690976730632,seed_23
gls_map,3.505107784164581,6.017948630023955,0.0903774624510057,PeMS7_228,0.1,23,205,random,71,23,2026,,367.0508550052475,1799.759923054026,108.81396834355814,seed_23
historical_tod_mean,3.4361640413279138,6.087815063155467,0.0937610285032434,PeMS7_228,0.1,23,205,random,72,23,2026,,,,,seed_23
neighbor_average,7.949543247515808,11.994981082763353,0.2050354117127917,PeMS7_228,0.1,23,205,random,72,23,2026,,,,,seed_23
gsp,3.4732789455710367,6.043015354141782,0.092515340642645,PeMS7_228,0.1,23,205,random,72,23,2026,,19.217292952683184,158.79710319724282,661.2586301525715,seed_23
gls_map,3.3436985524491725,5.759172510193815,0.085708967642037,PeMS7_228,0.1,23,205,random,72,23,2026,,375.142622460726,1643.6165829992394,107.44811109974572,seed_23
historical_tod_mean,3.5336959264905152,6.255882536082271,0.097826094241769,PeMS7_228,0.1,23,205,random,73,23,2026,,,,,seed_23
neighbor_average,7.880289916440831,12.107490959422815,0.2280411627231698,PeMS7_228,0.1,23,205,random,73,23,2026,,,,,seed_23
gsp,3.5720677106737067,6.254734859622601,0.0985840591532473,PeMS7_228,0.1,23,205,random,73,23,2026,,19.216122450770072,161.84653218368368,661.2716532319514,seed_23
gls_map,3.4712637618777964,6.106103019643486,0.0934376761092796,PeMS7_228,0.1,23,205,random,73,23,2026,,364.2180845539416,1636.700277166622,109.0680301016892,seed_23
historical_tod_mean,3.4656272442411926,6.15944288945693,0.0952818972181516,PeMS7_228,0.1,23,205,random,74,23,2026,,,,,seed_23
neighbor_average,8.693660512646794,12.83541794879035,0.2286841969216097,PeMS7_228,0.1,23,205,random,74,23,2026,,,,,seed_23
gsp,3.5259027213010907,6.141917293871108,0.0948927505980573,PeMS7_228,0.1,23,205,random,74,23,2026,,19.215835676860685,157.95798261435655,661.2367465669586,seed_23
gls_map,3.4292347903120257,5.934233015210662,0.0886186132982263,PeMS7_228,0.1,23,205,random,74,23,2026,,383.1470930029965,1634.180429674532,106.05074340272016,seed_23
historical_tod_mean,3.490300558943089,6.153641129225379,0.0954087582712687,PeMS7_228,0.1,23,205,random,75,23,2026,,,,,seed_23
neighbor_average,7.790970810749775,12.14190805918702,0.2238835931088932,PeMS7_228,0.1,23,205,random,75,23,2026,,,,,seed_23
gsp,3.535322000946897,6.140586210536424,0.0943122290320934,PeMS7_228,0.1,23,205,random,75,23,2026,,19.21618559132061,161.06633947563006,661.2628922642821,seed_23
gls_map,3.4068852476928844,5.848907215274264,0.0872047175752201,PeMS7_228,0.1,23,205,random,75,23,2026,,368.57098534044064,1545.7420896072354,109.7580447462254,seed_23
historical_tod_mean,3.4229981368563687,6.088462750545686,0.0923594429838485,PeMS7_228,0.1,23,205,random,76,23,2026,,,,,seed_23
neighbor_average,8.212014171183379,12.115225337102046,0.2100778379691815,PeMS7_228,0.1,23,205,random,76,23,2026,,,,,seed_23
gsp,3.418036481030975,6.0298629997987305,0.0898662072634089,PeMS7_228,0.1,23,205,random,76,23,2026,,19.21732650436264,158.73838702314424,661.2862984578372,seed_23
gls_map,3.3575999808007877,5.771559523480729,0.0830343070741199,PeMS7_228,0.1,23,205,random,76,23,2026,,372.22335840949177,1860.6749341482637,107.50062729754522,seed_23
historical_tod_mean,3.4960519986449854,6.17573410426515,0.0956369388621709,PeMS7_228,0.1,23,205,random,77,23,2026,,,,,seed_23
neighbor_average,8.283656560523939,12.739328394622117,0.2251866666570197,PeMS7_228,0.1,23,205,random,77,23,2026,,,,,seed_23
gsp,3.5192639314168463,6.114790734355561,0.0925301033334398,PeMS7_228,0.1,23,205,random,77,23,2026,,19.215589172127565,158.01420403837557,661.210484265775,seed_23
gls_map,3.5280919704886,6.1344612205575375,0.0903501347417214,PeMS7_228,0.1,23,205,random,77,23,2026,,381.5630472506218,1805.8324420242525,108.08464407776388,seed_23
historical_tod_mean,3.4864585027100268,6.164167113504443,0.0949132053278895,PeMS7_228,0.1,23,205,random,78,23,2026,,,,,seed_23
neighbor_average,7.797743902439024,11.848952551419616,0.2079036181891342,PeMS7_228,0.1,23,205,random,78,23,2026,,,,,seed_23
gsp,3.512893522624636,6.092897001801383,0.0919582166233396,PeMS7_228,0.1,23,205,random,78,23,2026,,19.219591742546346,158.4291739362024,661.3369024641901,seed_23
gls_map,3.384989359534671,5.793609704898034,0.0845018646124703,PeMS7_228,0.1,23,205,random,78,23,2026,,365.96354846551776,1465.0266828489105,107.5702008608554,seed_23
historical_tod_mean,3.418478023373984,6.107615434048461,0.094045670147855,PeMS7_228,0.1,23,205,random,79,23,2026,,,,,seed_23
neighbor_average,8.511988200090336,12.702185425185917,0.2151692093532932,PeMS7_228,0.1,23,205,random,79,23,2026,,,,,seed_23
gsp,3.486073050791721,6.051054436132892,0.0920192282070425,PeMS7_228,0.1,23,205,random,79,23,2026,,19.216917540652428,161.1556214404165,661.2536441822182,seed_23
gls_map,3.486623946604773,5.99896891566248,0.0894148820579494,PeMS7_228,0.1,23,205,random,79,23,2026,,375.0056769971124,1622.426061502523,108.1165087642238,seed_23
historical_tod_mean,3.501615557249323,6.2005333213313625,0.0950752045458327,PeMS7_228,0.1,23,205,random,80,23,2026,,,,,seed_23
neighbor_average,8.59074836269196,13.766789261559577,0.2187632622300428,PeMS7_228,0.1,23,205,random,80,23,2026,,,,,seed_23
