budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_cvar_a_trace,10,0,3.456283896252212,0.6479931012947024,,,486.80074177617354,9.512095011484858,,,430.4167733598145,14.377182093734483,,,667.1891204797333,102.7509409141797,,,0.05016655562958022,0.0061466547870679756,,,0.2859496926557986,0.1106434009026515,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_best_random_trace,10,3,3.2274310484247026,0.6540058108094269,3.4312224822277826,0.2901883999249675,455.40906292112174,5.324136844979204,452.1502674163778,3.054826437543821,463.2505932520222,13.90629092258654,463.53217259945495,16.83106862780125,496.4613172996342,16.265779526573557,491.9781444777598,11.865973747787057,0.048285456754320596,0.0016714192876925934,0.048203158678528,0.0008377771025759917,0.03789219538710968,0.030809834696435244,0.0,0.0
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,10,0,3.2407643579746477,0.648492214788199,,,452.34558675054376,5.128302104193676,,,457.5692592248712,15.070821297425134,,,483.4052939400649,15.853404473746535,,,0.0499196614022024,0.0019956171502891534,,,0.05467844290173289,0.044820285984555404,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_average,10,1,3.2495847476697306,0.6730477792994827,2.1321484496634966,,453.0406924728906,4.890804927815582,463.72362552782783,,459.39014303338473,13.311138550041923,473.3440925494928,,490.66715439737817,33.90822431147156,463.7637757690295,,0.048630324881451525,0.0022596254524592896,0.0464004389230708,,0.05637355409549827,0.03509052684936712,0.0,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_cvar,10,1,3.262761297378399,0.6432173910305962,3.7410558528786737,,453.82973548306757,5.0668646636528285,453.2707102861205,,457.03964804492,14.669082255968346,466.1144872352143,,505.2160901989343,18.427406941031723,488.47227878883183,,0.04797585923110077,0.0019094429114620767,0.0490261394364541,,0.07958273783107347,0.058466356617430555,0.0130981890193704,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,10,0,3.653626006632198,0.6288270316303702,,,651.1267082411844,10.339625930225111,,,708.0461296469192,51.2261348239923,,,1587.6827684810016,163.9381772000727,,,0.10631735705608023,0.0023797562440854457,,,0.5160079232038788,0.2083501035092885,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap,30,0,3.2490102360220474,0.3221085009423006,,,464.41001393924057,20.459978980806245,,,471.31697582510355,26.023603732365558,,,517.837555398257,68.88959461024064,,,0.0484461339499157,0.0025257097622896824,,,0.5151849878168756,0.4492918716781689,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,coverage,10,0,3.0283971785943686,0.5907617040284936,,,379.7262958391542,4.2832830455098465,,,359.1167055343941,12.31914916872083,,,255.99723930571514,8.882504667762376,,,0.0287651369675118,0.0,,,0.10710261164845117,0.038375453626782685,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,degree,10,0,3.696691746363972,0.7386935738580112,,,481.91076414855814,5.116888482116991,,,442.70946266994616,16.881846371900174,,,646.8729707030669,19.167455313151113,,,0.1256809186032841,0.0,,,0.7568333032481771,0.0764357793015216,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,10,0,3.969495125251315,0.8606870877279893,,,512.5104260632678,5.461737083275681,,,486.85736882327757,24.056900928852926,,,1082.4878041870886,50.6506097893712,,,0.16436101422581023,2.925694557147251e-17,,,0.997327561509274,0.004819567268805694,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,10,0,3.0323282284948023,0.6138198204927273,,,343.3931659184012,4.1561809910190215,,,325.8779134721627,8.591106339684492,,,259.2493908564891,10.00625975501441,,,0.028816083395383423,0.00040812790327537376,,,0.09450562392394461,0.0385717155223051,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_d_logdet,10,0,3.6801548012213785,0.7742049978303056,,,380.6392849596663,4.270982876355403,,,342.6686910200401,16.743127134500238,,,759.912138201745,82.36311621547353,,,0.036528588783947914,0.0009186030611638176,,,0.6804849790360633,0.12966623986485976,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,10,1,2.9965934094196736,0.6159234924854614,1.985609677881239,,347.44057281534083,6.223969654503032,361.48397533377647,,328.693035460631,9.651304859678062,340.8011057709043,,256.65848972821556,13.235527213213965,249.93581023789315,,0.028142022965082048,0.0004826135915811604,0.0271583650115609,,0.05819266940234158,0.03968690177110745,0.0,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,observability_proxy,10,0,3.57964256862399,0.7041430689522067,,,468.37608748050445,5.343421166891978,,,428.4482691388471,15.017810536889503,,,670.6968928387407,20.393586891972518,,,0.1232119763295058,0.0,,,0.6500019787151736,0.08061908845146118,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,qr_pod_modes,10,0,3.1994173206625653,0.6716435163534866,,,346.40827692360455,4.2723353214569775,,,322.41235249557883,10.031525782537804,,,379.68677914458266,32.05260977552569,,,0.029635145197319378,0.0008938122116438267,,,0.23843479043525276,0.07335920929046745,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,quality_coverage_sample,500,8,3.0318455431628077,0.5762867542001623,3.0211391905633262,0.547700999148055,394.0428815399193,7.703987186862074,390.89310561189455,6.194516494863274,373.26946947880236,14.994754684925065,370.88277328166976,17.168549333802712,356.24570528176275,47.06858703640405,338.2177821232031,45.70611158130936,0.028685660540032083,0.0008319941179133649,0.028147901399067237,0.0004687560037955823,0.10591846194303423,0.05225919823074521,0.01084059047286735,0.020082153166142116
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,random_validation_pool,500,0,3.154212473082707,0.6119379235298921,,,401.0567236147332,9.049811563919443,,,375.7972173448253,15.264767663906962,,,380.4163375367153,49.811636916221325,,,0.033266841713367516,0.002914815319408148,,,0.21447873056125027,0.06248412906797701,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,robust_coverage_cvar,10,0,3.123221307467143,0.626117822968392,,,361.9293000224076,6.471513583837897,,,305.99229055902714,10.845376484162252,,,305.4768594252222,38.19426980615488,,,0.027887290825723977,0.0009962681915134696,,,0.17215596999418456,0.0431361140532752,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_average_a_trace,10,0,3.208286618753511,0.6703890169244996,,,359.9496689837712,4.999119874139458,,,313.5437438717646,9.8676592187424,,,365.7572975788936,34.28350167476106,,,0.032558686365952064,0.0011606110183493559,,,0.24337629369577002,0.048142437623705195,,
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_cvar_a_trace,10,0,3.2348348409942096,0.6548158312235488,,,365.2600897578405,6.460196620845067,,,302.87744781450726,9.64652828525312,,,381.2308491694083,69.60824898699202,,,0.03385194184269306,0.0028759666757066085,,,0.2739394586683165,0.08097993122562312,,
