method,certificate,pearson_mae,spearman_mae,n,split_seed
gls_map,condition_number,0.6614599390935016,0.151238591916558,21,26
gls_map,information_logdet,0.503950711545357,0.0091264667535853,21,26
gsp,posterior_trace,-0.2071017630334345,-0.2208469055374593,21,25
gsp,condition_number,0.2493043961367214,0.155700325732899,21,25
gsp,information_logdet,-0.2540325605861154,-0.2742671009771987,21,25
gls_map,posterior_trace,0.3618931016591222,0.3433224755700326,21,25
gls_map,condition_number,0.1796462446949248,0.2039087947882736,21,25
gls_map,information_logdet,-0.0159119017206362,-0.0136807817589576,21,25
gsp,posterior_trace,-0.10218971895339,-0.1473272490221643,21,26
gsp,condition_number,0.2414136346312145,0.500651890482399,21,26
gsp,information_logdet,0.0691690893573666,-0.0808344198174706,21,26
gls_map,posterior_trace,0.6128190805855609,0.2972620599739244,21,26
gls_map,condition_number,0.9011998216463452,0.1095176010430247,21,26
gls_map,information_logdet,0.4844402618043636,-0.2216427640156454,21,26
gsp,posterior_trace,-0.1206746352921833,-0.0384364820846905,21,25
gsp,condition_number,0.2603018924717701,0.2273615635179153,21,25
gsp,information_logdet,-0.1304811403968387,-0.0814332247557003,21,25
gls_map,posterior_trace,0.3223420153986154,0.2977198697068404,21,25
gls_map,condition_number,0.0778535496465268,-0.0657980456026058,21,25
gls_map,information_logdet,0.1309490806650031,0.1570032573289902,21,25
gsp,posterior_trace,0.0179691049343303,0.1525423728813559,21,26
gsp,condition_number,0.20368499473906,0.1890482398956975,21,26
gsp,information_logdet,0.1536804907032564,0.1473272490221643,21,26
gls_map,posterior_trace,0.7229745941673966,0.3207301173402869,21,26
gls_map,condition_number,0.8856723442537434,0.1955671447196871,21,26
gls_map,information_logdet,0.4960237425552267,-0.1277705345501955,21,26
gsp,posterior_trace,-0.2842937999370152,-0.1504885993485342,21,25
gsp,condition_number,0.1727472423450488,0.1335504885993485,21,25
gsp,information_logdet,-0.3202976025210773,-0.2859934853420196,21,25
gls_map,posterior_trace,0.3184765489229731,0.3719869706840391,21,25
gls_map,condition_number,0.1256695662491448,0.3537459283387623,21,25
gls_map,information_logdet,0.0327597812513976,-0.009771986970684,21,25
gsp,posterior_trace,-0.1543907048769137,-0.1082138200782268,21,26
gsp,condition_number,0.2447636549082898,0.4054758800521512,21,26
gsp,information_logdet,0.0697954076666975,0.0586701434159061,21,26
gls_map,posterior_trace,0.5071238467188937,0.272490221642764,21,26
gls_map,condition_number,0.8424796826727025,0.1264667535853976,21,26
gls_map,information_logdet,0.5000980277323077,-0.1681877444589309,21,26
gsp,posterior_trace,-0.1914378978815027,-0.1166123778501629,21,25
gsp,condition_number,0.3165202744183554,0.3198697068403909,21,25
gsp,information_logdet,-0.1849793399573443,-0.1635179153094463,21,25
gls_map,posterior_trace,0.3491768056827857,0.3798045602605864,21,25
gls_map,condition_number,0.1466797725202739,0.2560260586319219,21,25
gls_map,information_logdet,-0.0587566700936019,-0.2130293159609121,21,25
gsp,posterior_trace,-0.0678179817324371,0.2711864406779661,21,26
gsp,condition_number,-0.0590736166507081,0.3481095176010431,21,26
gsp,information_logdet,0.0873464880101457,0.2920469361147327,21,26
gls_map,posterior_trace,0.617555318062807,0.2972620599739244,21,26
gls_map,condition_number,0.8793627477276208,0.2046936114732725,21,26
gls_map,information_logdet,0.5431279418236605,0.0221642764015645,21,26
