method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
neighbor_average,6.879909873749094,11.103856390867408,0.1872471714486445,PeMS7_1026,0.3,308,718,random,54,28,3054,,,,
gsp,4.002656511334688,6.8314987310714645,0.10569286559730558,PeMS7_1026,0.3,308,718,random,54,28,3054,,16.546761425742122,295.2665260538129,4476.493448561384
gls_map,3.10970415353424,5.406195668284699,0.08020874925031807,PeMS7_1026,0.3,308,718,random,54,28,3054,,843.6556690880752,3311.6590858719555,1363.9822714511768
historical_tod_mean,4.2347965509904055,7.233230779384846,0.10670511786879328,PeMS7_1026,0.3,308,718,random,55,28,3054,,,,
neighbor_average,6.934650246956566,11.119602648930693,0.18180255214453114,PeMS7_1026,0.3,308,718,random,55,28,3054,,,,
gsp,4.0455118044035405,6.812204269042851,0.10353768133174525,PeMS7_1026,0.3,308,718,random,55,28,3054,,16.551150130956387,295.42962735455586,4476.495127045357
gls_map,3.154718533604055,5.355410335872865,0.07838025717234282,PeMS7_1026,0.3,308,718,random,55,28,3054,,840.3439420159511,3060.183670109174,1363.2216713375078
historical_tod_mean,4.213338725433302,7.231583498454541,0.10589609236552898,PeMS7_1026,0.3,308,718,random,56,28,3054,,,,
neighbor_average,6.9840689640720095,11.273393784710054,0.1898301144662749,PeMS7_1026,0.3,308,718,random,56,28,3054,,,,
gsp,4.025022973771315,6.810128385002571,0.10248387529265084,PeMS7_1026,0.3,308,718,random,56,28,3054,,16.54976271297024,295.054502414561,4476.470475594329
gls_map,3.1283645454593056,5.302288310729027,0.07723173980359274,PeMS7_1026,0.3,308,718,random,56,28,3054,,833.5169769124226,3407.8327250302377,1367.0813464728799
historical_tod_mean,4.205477865792324,7.262638964581054,0.1084229316582657,PeMS7_1026,0.3,308,718,random,57,28,3054,,,,
neighbor_average,6.9520617326936955,11.049580517983323,0.18523253345294674,PeMS7_1026,0.3,308,718,random,57,28,3054,,,,
gsp,3.990102825508695,6.829267890303569,0.10504679555478418,PeMS7_1026,0.3,308,718,random,57,28,3054,,16.554870928072127,295.29673742108145,4476.386012516763
gls_map,3.076004973250829,5.263296229042197,0.07820717214519736,PeMS7_1026,0.3,308,718,random,57,28,3054,,828.2651578744974,3110.405150523823,1367.2962114863285
historical_tod_mean,4.198216278822346,7.148523337523917,0.10245799716423529,PeMS7_1026,0.3,308,718,random,58,28,3054,,,,
neighbor_average,7.029607303595377,11.203666013721476,0.18103552356507058,PeMS7_1026,0.3,308,718,random,58,28,3054,,,,
gsp,3.99918819102888,6.719707484918487,0.09922036484141676,PeMS7_1026,0.3,308,718,random,58,28,3054,,16.556259739388217,295.23670674155807,4476.363163049893
gls_map,3.1751371015083376,5.301173006159793,0.07466904771104174,PeMS7_1026,0.3,308,718,random,58,28,3054,,857.2453553598896,3315.5020352017345,1363.6092591514603
historical_tod_mean,4.196222604263387,7.213333816888523,0.10123364289375993,PeMS7_1026,0.3,308,718,random,59,28,3054,,,,
neighbor_average,6.952301354714744,11.035615338675393,0.1793404159832595,PeMS7_1026,0.3,308,718,random,59,28,3054,,,,
gsp,3.969947073256024,6.784008446648538,0.09775714092642396,PeMS7_1026,0.3,308,718,random,59,28,3054,,16.551297663259376,295.16320332903365,4476.493235587018
gls_map,3.1279620130624934,5.2360022119206375,0.0725163480448216,PeMS7_1026,0.3,308,718,random,59,28,3054,,829.3947873140419,3702.0781406778315,1374.4169113721168
historical_tod_mean,4.213953835886722,7.218710902051806,0.10696134463447342,PeMS7_1026,0.3,308,718,random,60,28,3054,,,,
neighbor_average,6.979702733286908,11.17433823407459,0.18068758062307627,PeMS7_1026,0.3,308,718,random,60,28,3054,,,,
gsp,3.9777134413480373,6.780297433976867,0.10333589845340471,PeMS7_1026,0.3,308,718,random,60,28,3054,,16.54840877714046,295.48211143889046,4476.520952751293
