method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
gsp,3.8601869766798362,6.664647042404727,0.0932644121741367,PeMS7_228,0.2,46,182,random,3,25,2151,,16.412469945413953,95.36481688758357,663.0589569169058
gls_map,3.558743281197838,6.0843980120865035,0.08461207336010496,PeMS7_228,0.2,46,182,random,3,25,2151,,304.6443834819245,902.833828458494,130.87728098406524
historical_tod_mean,3.993531269078144,6.912973409736912,0.09209620952241677,PeMS7_228,0.2,46,182,random,4,25,2151,,,,
neighbor_average,7.359971827940578,11.324672252208732,0.17776371449009598,PeMS7_228,0.2,46,182,random,4,25,2151,,,,
gsp,3.788265470142627,6.564303908883226,0.08894272453593866,PeMS7_228,0.2,46,182,random,4,25,2151,,16.423606726268687,96.16685406338652,662.9148442240671
gls_map,3.392360544614392,5.994782750305064,0.07954186427276877,PeMS7_228,0.2,46,182,random,4,25,2151,,297.2178494866622,789.1930063272366,130.99055463623145
historical_tod_mean,4.040411229395604,6.961556884812723,0.09355874143956844,PeMS7_228,0.2,46,182,random,5,25,2151,,,,
neighbor_average,7.357758763227513,11.590508475852948,0.19015489202718,PeMS7_228,0.2,46,182,random,5,25,2151,,,,
gsp,3.772457840362976,6.575406547944416,0.09075606932883157,PeMS7_228,0.2,46,182,random,5,25,2151,,16.418463891899055,95.34447405535913,662.9750740205533
gls_map,3.383631269185334,5.914998337909496,0.08171113652681825,PeMS7_228,0.2,46,182,random,5,25,2151,,294.01639604299464,844.58966482975,131.67583735726163
historical_tod_mean,3.997654389880952,6.874871382838224,0.09114089437345117,PeMS7_228,0.2,46,182,random,6,25,2151,,,,
neighbor_average,6.999979967948717,10.878124474649198,0.17757322139735449,PeMS7_228,0.2,46,182,random,6,25,2151,,,,
gsp,3.7580988196599834,6.4994337170400875,0.08872633895668791,PeMS7_228,0.2,46,182,random,6,25,2151,,16.41566175393828,97.29112274091295,663.026575392611
gls_map,3.4506282851847976,5.969592507582599,0.08046358245534059,PeMS7_228,0.2,46,182,random,6,25,2151,,296.3995629503981,806.7949270029118,133.1229855084627
historical_tod_mean,4.0043081788003665,6.891715980398533,0.09211815311425849,PeMS7_228,0.2,46,182,random,7,25,2151,,,,
neighbor_average,7.278934867216116,11.312704345806928,0.1803754836776104,PeMS7_228,0.2,46,182,random,7,25,2151,,,,
gsp,3.7391452653137778,6.52664896012201,0.08876887524909555,PeMS7_228,0.2,46,182,random,7,25,2151,,16.419759353956003,96.82112587428229,662.9682243714205
gls_map,3.500501138619454,6.0262348583189596,0.0822045490846626,PeMS7_228,0.2,46,182,random,7,25,2151,,301.95104897341764,1373.4762617391523,131.96537670431758
historical_tod_mean,3.950830853174603,6.794781252975265,0.0910171790098594,PeMS7_228,0.2,46,182,random,8,25,2151,,,,
neighbor_average,7.179135505698004,11.064871166134052,0.17650451335223266,PeMS7_228,0.2,46,182,random,8,25,2151,,,,
gsp,3.788935964810465,6.48152065671163,0.08988874799472062,PeMS7_228,0.2,46,182,random,8,25,2151,,16.421589652400797,93.5921088363496,662.9723549168666
gls_map,3.4419543575511313,5.889000823902095,0.08184546077869911,PeMS7_228,0.2,46,182,random,8,25,2151,,304.62763884295316,1020.4846085063083,129.69762049697667
historical_tod_mean,4.054225665827228,7.016065467972057,0.09621294905587793,PeMS7_228,0.2,46,182,random,9,25,2151,,,,
