budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.2,multistart_swap_by_validation,10,4,3.247452604678886,0.2335033332013243,3.1933027741022215,0.23686442415879094,255.04854514924438,1.6295126406631522,254.81513790589764,1.9994304283270303,165.90069107501503,13.726980721133048,164.99785405460838,13.668299825904272,817.1795337767002,40.497351694807804,808.7597273241843,36.97252085296131,0.034809419191540694,0.0009901131592483018,0.034943165461003976,0.000744170054185536,0.07667546137046337,0.05159884054916276,0.039943449167230326,0.028351377276200712
0.2,observability_proxy,10,0,3.800455287821202,0.30733162731226993,,,321.9734465956421,1.8651143577660265,,,218.76635201073518,27.472438694173263,,,1208.3233387542275,40.545742459997385,,,0.0943473331035828,0.0,,,0.6434388482147081,0.082978768670517,,
0.2,qr_pod_modes,10,0,3.6725931628604584,0.26376107892090406,,,266.1310526960751,1.511144478900728,,,170.57484563296583,12.137078001854965,,,1949.1886824423298,189.4071805543865,,,0.03889494308694387,0.0007379315550256329,,,0.45808235710782386,0.14462118718435552,,
0.2,quality_coverage_sample,500,3,3.359082651056994,0.2525235235429655,3.0915730420056042,0.032387712642642695,300.01410943627866,7.284711052548433,296.1028087714631,0.6861390429027009,192.56043252258033,18.71516862966212,190.0550487612381,6.717804334598902,982.9686349526378,137.08148337947765,837.6381423090173,124.1535281853452,0.03645333169623676,0.0015019594741127028,0.034672392584317036,0.0006563498455049122,0.19447157685872024,0.07553407948556642,0.035401231827665566,0.06131673217604118
0.2,random_validation_pool,500,0,3.4520164792145334,0.2730806432249184,,,298.98135947334845,7.176004082006213,,,190.97801418460875,18.272487546928396,,,973.037231063216,136.88919140943153,,,0.040977220449185794,0.003078209032227829,,,0.2765043190994461,0.08530637177950931,,
0.2,robust_coverage_cvar,10,0,3.383780161256491,0.20753723522422818,,,280.87035384645316,4.385692216955489,,,137.11702964334467,8.6291762350478,,,887.239606642503,57.79604412725285,,,0.03354285306322066,0.0012233759577277654,,,0.17752803121770203,0.07908627744304257,,
0.2,scenario_average_a_trace,10,0,3.3988450499779743,0.2347172515362383,,,277.74727088925556,3.650327111274429,,,135.1170544783841,5.5963621313284,,,895.6910124463235,93.78006386326471,,,0.039979521573259735,0.002150173771936741,,,0.19416711514234158,0.09034960274120278,,
0.2,scenario_cvar_a_trace,10,0,3.439481654039503,0.2277463070583138,,,281.5790983857961,5.866094974313405,,,133.66175589091264,6.7305269928943465,,,914.8041266404631,69.29985385357169,,,0.04283605777676158,0.004693605029114668,,,0.23108182631729943,0.10930885304517134,,
0.2,swap_from_best_random_trace,10,1,3.314686317077926,0.26958721277957315,2.931338473734229,,251.8353049039666,1.0900144200002782,251.76848988875665,,167.76377074284935,14.260123689557249,181.21000831530537,,861.3914243684267,48.88550970521305,827.7965708265723,,0.035843809668921825,0.0014324146770658276,0.0338900770632373,,0.13393972991120467,0.04703661359714983,0.0618653263835496,
0.2,swap_from_greedy_a_trace,10,0,3.331265100715503,0.2317971553948639,,,249.1548219580145,0.8676619946434208,,,165.98374902684662,13.613192802167195,,,864.2961703452818,28.489067440440046,,,0.03517712338316252,0.00048212105474358,,,0.1511963054448287,0.046016702304556734,,
0.2,swap_from_scenario_average,10,1,3.320698947245954,0.21041708531380515,3.60323786075322,,251.08987594681145,0.8917143476231869,250.52541118546796,,160.42323064297992,15.355228490484478,141.5428639194231,,890.7561428071061,49.96043599531118,980.4049465096256,,0.036932639055613635,0.0008572174304952422,0.0359195302318813,,0.1448874442346491,0.07417376215239636,0.0,
0.2,swap_from_scenario_cvar,10,0,3.3370331891290186,0.21952466985050048,,,251.80500856062173,1.5918432840714085,,,159.35271346314414,12.165913364540584,,,890.1563996297939,40.57230957936332,,,0.035867087947311,0.0006876402309491421,,,0.15099359494521025,0.05037218929542026,,
0.2,top_variance,10,1,3.329957735920317,0.3077473112510749,3.358713082913836,,362.8589483007157,3.954566395039729,364.18696833824174,,242.66743547569823,33.04903757767689,203.9581019654992,,1519.7185348504097,80.03885052120147,1552.542642042303,,0.06295389176159774,0.004889355817749484,0.0622380193671862,,0.2136562917120644,0.13726823989196937,0.0,
0.2,validation_swap,30,0,3.231158736421078,0.17233382939294234,,,287.93620733684213,22.40593565373903,,,189.02806884581105,20.259412541421415,,,1011.2208417720435,235.08758898107865,,,0.03727333069552598,0.005895012581653299,,,0.4817141042308789,0.38698047438517996,,
0.3,coverage,10,0,3.2558152207109807,0.2739612653806969,,,248.55846362884637,1.2274000954480235,,,151.5566755416931,16.715760919609338,,,801.2718353856131,24.259254802232707,,,0.030678170165319495,3.657118196434064e-18,,,0.27981528788410726,0.049004858872191984,,
0.3,degree,10,0,3.8489060433488262,0.35515340923060734,,,290.57988122992595,1.6584711174646134,,,169.85322691496117,14.550277297102895,,,1152.5454170432781,39.69160273988699,,,0.1089925843010456,0.0,,,0.9463171841952593,0.06122021670431481,,
0.3,graph_sampling_laplacian,10,0,3.7068699953733457,0.38944838422943284,,,293.1045772017502,1.8927074475696073,,,174.6789509319347,13.867360379718503,,,1406.6286052126613,46.23531609486422,,,0.09148418486246349,1.4628472785736255e-17,,,0.7914521459753184,0.114112931688962,,
0.3,greedy_a_trace,10,0,3.2129631139594466,0.25112189250509265,,,204.79342978563645,0.7938160950895844,,,128.52619707512054,10.437178826122874,,,602.5576683656792,25.952638237127445,,,0.027619003702446236,0.0006464449435560321,,,0.214591162289476,0.0591800094131992,,
0.3,greedy_d_logdet,10,0,3.737120995130771,0.39100906583764805,,,219.80498675470767,1.881341308925157,,,129.4677859810625,9.992298945997868,,,1449.2848052946702,126.84376925412339,,,0.03515267195440386,0.0017609590652691931,,,0.7427945405691336,0.1671335278486887,,
